,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Batsman
0,DNB,0.0,0.0,0.0,0.0,0.0,v India,Nagpur,Oshane Thomas
1,DNB,0.0,0.0,0.0,0.0,0.0,v India,Kolkata,Oshane Thomas
2,DNB,0.0,0.0,0.0,0.0,0.0,v India,Delhi,Oshane Thomas
3,DNB,0.0,0.0,0.0,0.0,0.0,v Bangladesh,Dhaka,Oshane Thomas
4,DNB,0.0,0.0,0.0,0.0,0.0,v India,Dhaka,Oshane Thomas
5,0*,0.0,8.0,0.0,0.0,0.0,v India,Dhaka,Oshane Thomas
6,0*,0.0,0.0,0.0,0.0,0.0,v England,The Oval,Oshane Thomas
7,DNB,0.0,0.0,0.0,0.0,0.0,v England,Leeds,Oshane Thomas
8,DNB,0.0,0.0,0.0,0.0,0.0,v England,Lord's,Oshane Thomas
9,1*,1.0,3.0,33.33,0.0,0.0,v England,Nottingham,Oshane Thomas
10,0*,0.0,2.0,0.0,0.0,0.0,v Australia,Pallekele,Oshane Thomas
11,0,0.0,2.0,0.0,0.0,0.0,v Pakistan,Dubai (DSC),Oshane Thomas
12,0*,0.0,0.0,0.0,0.0,0.0,v India,Dhaka,Oshane Thomas
13,0,0.0,4.0,0.0,0.0,0.0,v Pakistan,Dhaka,Oshane Thomas
14,0,0.0,1.0,0.0,0.0,0.0,v Bangladesh,Dhaka,Oshane Thomas
15,1,1.0,5.0,20.0,0.0,0.0,v India,Port of Spain,Oshane Thomas
16,DNB,0.0,0.0,0.0,0.0,0.0,v South Africa,Colombo (RPS),Oshane Thomas
17,1*,1.0,1.0,100.0,0.0,0.0,v Pakistan,Sharjah,Oshane Thomas
18,2*,2.0,11.0,18.18,0.0,0.0,v Pakistan,Abu Dhabi,Oshane Thomas
19,DNB,0.0,0.0,0.0,0.0,0.0,v Pakistan,Abu Dhabi,Oshane Thomas
20,DNB,0.0,0.0,0.0,0.0,0.0,v Bangladesh,Dhaka,Oshane Thomas
21,DNB,0.0,0.0,0.0,0.0,0.0,v Pakistan,Fatullah,Oshane Thomas
22,DNB,0.0,0.0,0.0,0.0,0.0,v Afghanistan,Dhaka,Oshane Thomas
23,DNB,0.0,0.0,0.0,0.0,0.0,v Bangladesh,Dhaka,Oshane Thomas
24,DNB,0.0,0.0,0.0,0.0,0.0,v Pakistan,Dhaka,Oshane Thomas
25,DNB,0.0,0.0,0.0,0.0,0.0,v Ireland,Dublin,Oshane Thomas
26,4*,4.0,5.0,80.0,0.0,0.0,v England,The Oval,Oshane Thomas
27,DNB,0.0,0.0,0.0,0.0,0.0,v England,Pallekele,Oshane Thomas
28,DNB,0.0,0.0,0.0,0.0,0.0,v England,Colombo (RPS),Oshane Thomas
29,0,0.0,3.0,0.0,0.0,0.0,v New Zealand,Dunedin,Oshane Thomas
30,3,3.0,5.0,60.0,0.0,0.0,v New Zealand,Dunedin,Oshane Thomas
31,7*,7.0,17.0,41.17,0.0,0.0,v New Zealand,Christchurch,Oshane Thomas
32,DNB,0.0,0.0,0.0,0.0,0.0,v Afghanistan,Dunedin,Oshane Thomas
33,DNB,0.0,0.0,0.0,0.0,0.0,v Bangladesh,Melbourne,Oshane Thomas
34,DNB,0.0,0.0,0.0,0.0,0.0,v England,Wellington,Oshane Thomas
35,DNB,0.0,0.0,0.0,0.0,0.0,v Pakistan,Dambulla,Oshane Thomas
36,1*,1.0,3.0,33.33,0.0,0.0,v Pakistan,Colombo (RPS),Oshane Thomas
37,DNB,0.0,0.0,0.0,0.0,0.0,v Pakistan,Hambantota,Oshane Thomas
38,1*,1.0,4.0,25.0,0.0,0.0,v West Indies,Colombo (RPS),Oshane Thomas
39,DNB,0.0,0.0,0.0,0.0,0.0,v West Indies,Colombo (RPS),Oshane Thomas
40,DNB,0.0,0.0,0.0,0.0,0.0,v West Indies,Pallekele,Oshane Thomas
41,8,8.0,9.0,88.88,0.0,0.0,v New Zealand,Christchurch,Oshane Thomas
42,DNB,0.0,0.0,0.0,0.0,0.0,v Ireland,Dublin (Malahide),Oshane Thomas
43,7,7.0,8.0,87.5,0.0,0.0,v England,Nottingham,Oshane Thomas
44,DNB,0.0,0.0,0.0,0.0,0.0,v England,Birmingham,Oshane Thomas
45,3*,3.0,4.0,75.0,0.0,0.0,v England,Bristol,Oshane Thomas
46,DNB,0.0,0.0,0.0,0.0,0.0,v England,The Oval,Oshane Thomas
47,10,10.0,23.0,43.47,1.0,0.0,v England,Cardiff,Oshane Thomas
48,0,0.0,1.0,0.0,0.0,0.0,v Australia,Pallekele,Oshane Thomas
49,DNB,0.0,0.0,0.0,0.0,0.0,v Zimbabwe,Harare,Oshane Thomas
50,0,0.0,1.0,0.0,0.0,0.0,v West Indies,Harare,Oshane Thomas
51,TDNB,0.0,0.0,0.0,0.0,0.0,v Zimbabwe,Bulawayo,Oshane Thomas
52,DNB,0.0,0.0,0.0,0.0,0.0,v West Indies,Bulawayo,Oshane Thomas
53,DNB,0.0,0.0,0.0,0.0,0.0,v Zimbabwe,Bulawayo,Oshane Thomas
54,3,3.0,12.0,25.0,0.0,0.0,v South Africa,Port Elizabeth,Oshane Thomas
55,2*,2.0,5.0,40.0,0.0,0.0,v South Africa,Durban,Oshane Thomas
56,0,0.0,6.0,0.0,0.0,0.0,v South Africa,Johannesburg,Oshane Thomas
57,20*,20.0,28.0,71.42,1.0,1.0,v South Africa,Centurion,Oshane Thomas
58,8,8.0,9.0,88.88,1.0,0.0,v Bangladesh,Dambulla,Oshane Thomas
59,0,0.0,1.0,0.0,0.0,0.0,v Bangladesh,Dambulla,Oshane Thomas
60,2*,2.0,1.0,200.0,0.0,0.0,v Bangladesh,Colombo (SSC),Oshane Thomas
61,0,0.0,3.0,0.0,0.0,0.0,v South Africa,The Oval,Oshane Thomas
62,DNB,0.0,0.0,0.0,0.0,0.0,v India,The Oval,Oshane Thomas
63,26,26.0,34.0,76.47,3.0,0.0,v Pakistan,Cardiff,Oshane Thomas
64,7*,7.0,9.0,77.77,1.0,0.0,v Pakistan,Dubai (DSC),Oshane Thomas
65,1,1.0,2.0,50.0,0.0,0.0,v Pakistan,Abu Dhabi,Oshane Thomas
66,23*,23.0,30.0,76.66,3.0,0.0,v Pakistan,Sharjah,Oshane Thomas
67,DNB,0.0,0.0,0.0,0.0,0.0,v India,Dharamsala,Oshane Thomas
68,11*,11.0,22.0,50.0,0.0,0.0,v India,Mohali,Oshane Thomas
69,1,1.0,2.0,50.0,0.0,0.0,v India,Visakhapatnam,Oshane Thomas
70,5*,5.0,9.0,55.55,0.0,0.0,v Zimbabwe,Dhaka,Oshane Thomas
71,1,1.0,6.0,16.66,0.0,0.0,v Bangladesh,Dhaka,Oshane Thomas
72,DNB,0.0,0.0,0.0,0.0,0.0,v Zimbabwe,Dhaka,Oshane Thomas
73,DNB,0.0,0.0,0.0,0.0,0.0,v Bangladesh,Dhaka,Oshane Thomas
