,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Bowler
0,8.0,0.0,57.0,0.0,7.12,0.0,0.0,v India,Nagpur,Suranga Lakmal
1,10.0,0.0,55.0,2.0,5.5,27.5,30.0,v India,Kolkata,Suranga Lakmal
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v India,Delhi,Suranga Lakmal
3,9.0,1.0,63.0,2.0,7.0,31.5,27.0,v Bangladesh,Dhaka,Suranga Lakmal
4,8.0,1.0,48.0,0.0,6.0,0.0,0.0,v India,Dhaka,Suranga Lakmal
5,10.0,0.0,75.0,0.0,7.5,0.0,0.0,v India,Dhaka,Suranga Lakmal
6,7.0,0.0,52.0,2.0,7.42,26.0,21.0,v England,The Oval,Suranga Lakmal
7,7.5,0.0,43.0,3.0,5.48,14.33,15.6,v England,Leeds,Suranga Lakmal
8,10.0,0.0,62.0,2.0,6.2,31.0,30.0,v England,Lord's,Suranga Lakmal
9,2.0,0.0,12.0,0.0,6.0,0.0,0.0,v England,Nottingham,Suranga Lakmal
10,5.0,0.0,39.0,0.0,7.8,0.0,0.0,v Australia,Pallekele,Suranga Lakmal
11,4.0,0.0,16.0,2.0,4.0,8.0,12.0,v Pakistan,Dubai (DSC),Suranga Lakmal
12,10.0,1.0,67.0,1.0,6.7,67.0,60.0,v India,Dhaka,Suranga Lakmal
13,8.0,1.0,37.0,2.0,4.62,18.5,24.0,v Pakistan,Dhaka,Suranga Lakmal
14,7.1,0.0,44.0,1.0,6.13,44.0,43.0,v Bangladesh,Dhaka,Suranga Lakmal
15,10.0,1.0,33.0,1.0,3.3,33.0,60.0,v India,Port of Spain,Suranga Lakmal
16,5.5,0.0,22.0,3.0,3.77,7.33,11.6,v South Africa,Colombo (RPS),Suranga Lakmal
17,10.0,0.0,73.0,2.0,7.3,36.5,30.0,v Pakistan,Sharjah,Suranga Lakmal
18,9.0,0.0,49.0,1.0,5.44,49.0,54.0,v Pakistan,Abu Dhabi,Suranga Lakmal
19,7.3,0.0,42.0,3.0,5.6,14.0,15.0,v Pakistan,Abu Dhabi,Suranga Lakmal
20,10.0,3.0,24.0,2.0,2.4,12.0,30.0,v Bangladesh,Dhaka,Suranga Lakmal
21,9.0,1.0,65.0,2.0,7.22,32.5,27.0,v Pakistan,Fatullah,Suranga Lakmal
22,7.0,2.0,30.0,2.0,4.28,15.0,21.0,v Afghanistan,Dhaka,Suranga Lakmal
23,10.0,0.0,32.0,2.0,3.2,16.0,30.0,v Bangladesh,Dhaka,Suranga Lakmal
24,10.0,2.0,41.0,0.0,4.1,0.0,0.0,v Pakistan,Dhaka,Suranga Lakmal
25,8.0,1.0,29.0,3.0,3.62,9.66,16.0,v Ireland,Dublin,Suranga Lakmal
26,6.0,0.0,34.0,0.0,5.66,0.0,0.0,v England,The Oval,Suranga Lakmal
27,8.0,0.0,30.0,4.0,3.75,7.5,12.0,v England,Pallekele,Suranga Lakmal
28,8.0,1.0,25.0,2.0,3.12,12.5,24.0,v England,Colombo (RPS),Suranga Lakmal
29,10.0,0.0,93.0,0.0,9.3,0.0,0.0,v New Zealand,Dunedin,Suranga Lakmal
30,7.0,1.0,31.0,0.0,4.42,0.0,0.0,v New Zealand,Dunedin,Suranga Lakmal
31,10.0,0.0,62.0,2.0,6.2,31.0,30.0,v New Zealand,Christchurch,Suranga Lakmal
32,10.0,1.0,36.0,2.0,3.6,18.0,30.0,v Afghanistan,Dunedin,Suranga Lakmal
33,8.0,0.0,49.0,2.0,6.12,24.5,24.0,v Bangladesh,Melbourne,Suranga Lakmal
34,7.4,0.0,71.0,1.0,9.26,71.0,46.0,v England,Wellington,Suranga Lakmal
